name,url,language,created_since,updated_since,contributor_count,org_count,commit_frequency,recent_releases_count,closed_issues_count,updated_issues_count,comment_frequency,dependents_count,criticality_score
cmssw,https://github.com/cms-sw/cmssw,C++,274,0,2361,6,158.1,100,1106,1292,16.7,15583,0.96148
tensorflow,https://github.com/tensorflow/tensorflow,C++,62,0,3459,5,458.9,27,2790,4303,3.2,115088,0.96032
pytorch,https://github.com/pytorch/pytorch,C++,108,0,2441,5,175.5,6,14965,18567,1.0,397587,0.91955
ceph,https://github.com/ceph/ceph,C++,239,0,1368,3,150.3,16,1452,1957,3.1,326513,0.91136
bitcoin,https://github.com/bitcoin/bitcoin,C++,138,0,933,4,51.7,3,821,1274,4.1,314523,0.86966
electron,https://github.com/electron/electron,C++,95,0,1145,6,29.9,157,1518,2067,2.2,48325,0.86535
llvm-project,https://github.com/llvm/llvm-project,C++,238,0,2642,5,661.1,20,32,32,1.3,40742,0.86215
Cataclysm-DDA,https://github.com/CleverRaven/Cataclysm-DDA,C++,124,0,1683,3,160.8,1217,1893,2506,1.9,8709,0.85035
Marlin,https://github.com/MarlinFirmware/Marlin,C++,114,0,864,4,39.0,19,1795,2035,3.4,20157,0.84342
swift,https://github.com/apple/swift,C++,127,0,1018,2,152.8,10,1446,1702,4.1,16988,0.83687
grpc,https://github.com/grpc/grpc,C++,74,0,692,3,64.9,29,773,1111,1.9,105202,0.83167
opencv,https://github.com/opencv/opencv,C++,129,0,1690,8,22.1,8,1014,1363,1.7,10000,0.82843
QGIS,https://github.com/qgis/QGIS,C++,225,0,555,10,143.2,9,1762,2388,2.3,1797,0.82604
envoy,https://github.com/envoyproxy/envoy,C++,53,0,670,5,50.0,27,1210,1771,3.5,5983,0.8118
server,https://github.com/MariaDB/server,C++,248,0,1677,5,53.7,45,51,96,2.1,6396,0.80168
xbmc,https://github.com/xbmc/xbmc,C++,137,0,1040,2,34.6,11,553,766,3.1,20093,0.7957
arrow,https://github.com/apache/arrow,C++,59,0,605,6,48.3,7,817,934,4.1,6024,0.79515
Trilinos,https://github.com/trilinos/Trilinos,C++,278,0,548,4,55.6,2,579,827,6.3,8032,0.79513
emscripten,https://github.com/emscripten-core/emscripten,C++,126,0,611,5,32.1,35,677,1060,2.3,3371,0.79069
solidity,https://github.com/ethereum/solidity,C++,85,0,419,8,41.6,23,818,1199,2.1,2611,0.78892
ClickHouse,https://github.com/ClickHouse/ClickHouse,C++,147,0,829,2,287.5,62,3271,4149,1.2,1285,0.78777
godot,https://github.com/godotengine/godot,C++,94,0,1484,2,65.9,4,2472,4816,2.1,6316,0.78511
tdesktop,https://github.com/telegramdesktop/tdesktop,C++,81,0,138,7,42.2,68,1130,1858,2.2,9924,0.78431
ardupilot,https://github.com/ArduPilot/ardupilot,C++,129,4,710,10,84.5,2,780,1384,1.8,13615,0.78291
mongo,https://github.com/mongodb/mongo,C++,160,0,768,6,110.7,66,7,11,1.1,25842,0.781
vcpkg,https://github.com/microsoft/vcpkg,C++,52,0,1241,3,46.3,6,1739,2445,2.7,6404,0.78072
arangodb,https://github.com/arangodb/arangodb,C++,112,0,129,6,23.4,59,545,694,2.7,15349,0.7762
v8,https://github.com/v8/v8,C++,152,0,801,1,121.0,1491,2,3,3.0,215255,0.77318
gdal,https://github.com/OSGeo/gdal,C++,270,0,336,10,31.9,9,345,394,2.0,3425,0.77089
incubator-mxnet,https://github.com/apache/incubator-mxnet,C++,69,0,946,10,19.2,3,460,643,3.2,1743,0.76887
qtbase,https://github.com/qt/qtbase,C++,118,0,1455,4,111.3,15,5,5,0.4,71756,0.7668
bitcoin-abc,https://github.com/Bitcoin-ABC/bitcoin-abc,C++,138,0,733,3,39.9,27,25,28,3.5,7391,0.75927
xgboost,https://github.com/dmlc/xgboost,C++,84,0,500,9,11.7,16,435,532,2.8,1074,0.75468
zcash,https://github.com/zcash/zcash,C++,138,0,555,5,17.7,10,197,319,3.1,3114,0.7533
nix,https://github.com/NixOS/nix,C++,217,0,332,7,31.4,4,271,551,2.1,5319,0.75223
qgroundcontrol,https://github.com/mavlink/qgroundcontrol,C++,131,0,262,4,22.9,12,231,380,1.5,23219,0.74816
root,https://github.com/root-project/root,C++,251,0,342,3,74.2,4,486,636,6.9,950,0.74721
TrinityCore,https://github.com/TrinityCore/TrinityCore,C++,149,0,737,1,9.3,16,208,391,3.3,23560,0.74491
client,https://github.com/owncloud/client,C++,156,0,165,10,12.1,10,216,299,2.2,5328,0.74288
drake,https://github.com/RobotLocomotion/drake,C++,127,0,169,5,26.3,13,360,541,2.0,6338,0.73858
desktop,https://github.com/nextcloud/desktop,C++,156,0,249,9,22.7,16,243,503,2.9,513,0.73824
math,https://github.com/stan-dev/math,C++,112,0,146,7,63.6,6,199,296,4.2,1233,0.73506
cgal,https://github.com/CGAL/cgal,C++,309,0,241,5,57.7,12,401,636,2.1,1278,0.7346
wxWidgets,https://github.com/wxWidgets/wxWidgets,C++,275,0,395,5,34.2,3,93,117,2.5,6795,0.73188
lammps,https://github.com/lammps/lammps,C++,174,0,218,8,79.8,22,155,197,2.1,357,0.72992
moveit,https://github.com/ros-planning/moveit,C++,112,0,300,8,7.5,6,126,216,3.2,2791,0.72638
mixxx,https://github.com/mixxxdj/mixxx,C++,93,0,260,3,83.9,1,377,514,5.5,2519,0.72516
swoole-src,https://github.com/swoole/swoole-src,C++,103,0,175,8,13.1,24,243,266,1.8,2021,0.72381
Kratos,https://github.com/KratosMultiphysics/Kratos,C++,145,0,178,6,173.9,2,497,640,2.6,691,0.72311
z3,https://github.com/Z3Prover/z3,C++,100,0,208,7,45.0,2,208,249,1.8,6137,0.72274
sdk,https://github.com/meganz/sdk,C++,86,0,65,5,31.7,25,173,216,8.7,924,0.7224
scylla,https://github.com/scylladb/scylla,C++,78,0,104,3,68.8,31,575,1064,3.6,1446,0.72217
harfbuzz,https://github.com/harfbuzz/harfbuzz,C++,244,0,158,4,18.4,8,92,131,2.7,16948,0.7215
rpcs3,https://github.com/RPCS3/rpcs3,C++,99,0,247,2,41.7,6,534,833,2.1,8500,0.71793
ITK,https://github.com/InsightSoftwareConsortium/ITK,C++,255,0,377,6,13.9,6,211,266,2.3,1652,0.71692
PowerToys,https://github.com/microsoft/PowerToys,C++,85,0,245,4,41.7,23,2604,3541,2.6,156,0.71675
PrusaSlicer,https://github.com/prusa3d/PrusaSlicer,C++,113,0,140,4,47.2,17,713,1194,2.7,661,0.71574
EnergyPlus,https://github.com/NREL/EnergyPlus,C++,86,0,80,9,71.0,13,141,234,2.3,1318,0.71527
protobuf,https://github.com/protocolbuffers/protobuf,C++,152,0,767,2,11.5,17,243,489,1.3,3327,0.71119
mame,https://github.com/mamedev/mame,C++,159,0,440,0,118.0,10,300,350,1.8,19031,0.7103
Arduino,https://github.com/esp8266/Arduino,C++,74,0,456,5,6.7,5,291,363,2.3,3737,0.70785
zeek,https://github.com/zeek/zeek,C++,125,0,154,7,29.7,22,174,212,2.1,569,0.70775
moose,https://github.com/idaholab/moose,C++,83,0,254,8,53.8,1,506,705,3.3,394,0.70754
scummvm,https://github.com/scummvm/scummvm,C++,234,0,543,1,194.8,6,234,257,2.1,1666,0.70734
assimp,https://github.com/assimp/assimp,C++,154,0,500,7,14.9,1,110,201,1.0,6501,0.70691
doxygen,https://github.com/doxygen/doxygen,C++,256,0,210,3,14.8,16,149,304,1.9,5873,0.70597
fmt,https://github.com/fmtlib/fmt,C++,98,0,275,6,16.0,10,189,200,2.5,963,0.70373
pcl,https://github.com/PointCloudLibrary/pcl,C++,119,0,523,6,14.9,6,103,216,2.7,491,0.70362
openmw,https://github.com/OpenMW/openmw,C++,152,0,319,3,20.2,1,40,43,9.6,2588,0.70227
psi4,https://github.com/psi4/psi4,C++,160,0,245,12,14.2,1,59,89,1.9,4655,0.70206
one,https://github.com/OpenNebula/one,C++,152,0,171,6,25.5,11,192,430,0.6,3879,0.70183
ccache,https://github.com/ccache/ccache,C++,228,0,119,6,15.8,8,87,114,2.6,4404,0.70113
Halide,https://github.com/halide/Halide,C++,126,0,224,3,25.8,1,254,349,1.8,16161,0.69982
thrift,https://github.com/apache/thrift,C++,153,0,469,7,4.8,2,76,98,1.9,5220,0.69959
dealii,https://github.com/dealii/dealii,C++,281,0,268,10,49.9,1,504,592,2.1,187,0.69813
gnuradio,https://github.com/gnuradio/gnuradio,C++,175,0,364,4,12.6,4,287,424,2.3,1706,0.69778
jfx,https://github.com/openjdk/jfx,C++,111,0,185,6,5.0,62,67,92,6.5,369,0.69689
pdns,https://github.com/PowerDNS/pdns,C++,220,0,261,7,23.9,14,434,717,1.0,313,0.69645
pybind11,https://github.com/pybind/pybind11,C++,67,0,223,9,6.6,6,235,330,3.8,631,0.69524
json,https://github.com/nlohmann/json,C++,91,0,211,5,9.8,3,68,88,3.0,9160,0.69472
haiku,https://github.com/haiku/haiku,C++,225,3,337,4,26.8,0,1,1,4.0,523362,0.69325
terminal,https://github.com/microsoft/terminal,C++,41,0,266,2,18.6,25,962,1413,3.6,861,0.69226
PROJ,https://github.com/OSGeo/PROJ,C++,265,0,117,11,12.3,8,139,154,2.2,919,0.69105
minetest,https://github.com/minetest/minetest,C++,123,0,636,2,14.3,3,351,688,2.9,1157,0.69098
eos,https://github.com/EOSIO/eos,C++,45,1,254,3,14.8,17,352,425,0.6,44593,0.69083
ppsspp,https://github.com/hrydgard/ppsspp,C++,107,0,335,1,33.0,4,357,680,3.1,3602,0.69072
percona-server,https://github.com/percona/percona-server,C++,248,0,801,5,46.8,49,118,136,0.5,150,0.68911
MPD,https://github.com/MusicPlayerDaemon/MPD,C++,205,1,270,4,17.7,10,64,89,3.6,1989,0.68789
hpx,https://github.com/STEllAR-GROUP/hpx,C++,155,0,181,8,31.2,9,114,177,1.6,443,0.68783
node-sass,https://github.com/sass/node-sass,C++,108,0,209,7,1.0,4,92,132,1.8,14117,0.68545
realm-core,https://github.com/realm/realm-core,C++,125,0,118,6,21.7,39,264,353,0.9,872,0.68487
wesnoth,https://github.com/wesnoth/wesnoth,C++,210,0,316,1,32.8,18,220,319,3.4,865,0.68451
oiio,https://github.com/OpenImageIO/oiio,C++,154,0,190,7,6.9,22,77,90,2.2,717,0.68444
imgui,https://github.com/ocornut/imgui,C++,78,0,243,5,12.4,5,180,400,2.1,1862,0.68345
SU2,https://github.com/su2code/SU2,C++,91,1,133,5,27.1,8,78,100,2.8,4682,0.6834
trafficserver,https://github.com/apache/trafficserver,C++,136,0,412,6,12.5,16,197,288,1.3,228,0.68283
pwsafe,https://github.com/pwsafe/pwsafe,C++,232,0,102,3,7.1,10,16,21,3.6,29494,0.68233
mfem,https://github.com/mfem/mfem,C++,127,0,118,5,66.2,2,202,324,4.0,418,0.68203
supercollider,https://github.com/supercollider/supercollider,C++,223,0,287,4,11.2,9,109,185,3.7,489,0.68203
kokkos,https://github.com/kokkos/kokkos,C++,70,0,118,5,35.9,6,252,330,2.5,1306,0.68078
FreeCAD,https://github.com/FreeCAD/FreeCAD,C++,112,0,379,2,78.6,1,486,525,1.0,3005,0.67989
lmms,https://github.com/LMMS/lmms,C++,186,0,226,3,4.8,2,168,326,3.9,4371,0.67823
Urho3D,https://github.com/urho3d/Urho3D,C++,121,0,183,4,6.1,2,77,83,4.2,5090,0.67735
googletest,https://github.com/google/googletest,C++,152,0,347,3,4.9,1,134,187,1.5,20636,0.67699
Catch2,https://github.com/catchorg/Catch2,C++,123,0,278,5,8.0,14,102,158,1.6,898,0.67638
libzmq,https://github.com/zeromq/libzmq,C++,139,0,553,6,5.1,1,64,110,1.1,4925,0.67608
crawl,https://github.com/crawl/crawl,C++,175,0,428,4,37.5,2,87,123,0.9,2275,0.67589
cocos2d-x,https://github.com/cocos2d/cocos2d-x,C++,127,2,865,4,0.4,9,16,63,1.3,35865,0.67502
cppcheck,https://github.com/danmar/cppcheck,C++,166,0,379,2,36.3,4,150,157,1.9,1780,0.675
simc,https://github.com/simulationcraft/simc,C++,152,0,355,1,93.2,16,389,421,1.0,816,0.67452
glslang,https://github.com/KhronosGroup/glslang,C++,98,0,198,4,6.3,6,65,105,2.6,4430,0.67255
mumble,https://github.com/mumble-voip/mumble,C++,186,0,258,3,10.6,4,172,245,3.5,1048,0.67178
vnpy,https://github.com/vnpy/vnpy,C++,71,0,116,5,40.0,10,105,111,0.9,4053,0.6714
benchmark,https://github.com/google/benchmark,C++,86,0,198,5,1.2,2,26,43,3.1,31017,0.67094
DeepSpeech,https://github.com/mozilla/DeepSpeech,C++,59,0,152,7,13.6,44,141,169,3.1,197,0.6703
botan,https://github.com/randombit/botan,C++,178,0,122,5,10.6,10,155,178,1.6,1882,0.66948
AirSim,https://github.com/microsoft/AirSim,C++,47,0,183,7,5.5,4,171,352,2.1,2990,0.66923
fltk,https://github.com/fltk/fltk,C++,270,0,36,6,7.3,3,23,52,4.0,19642,0.66856
LightGBM,https://github.com/microsoft/LightGBM,C++,53,0,192,7,9.6,4,290,364,3.3,512,0.6679
stellarium,https://github.com/Stellarium/stellarium,C++,225,0,179,6,18.9,4,183,288,3.4,184,0.66785
MuseScore,https://github.com/musescore/MuseScore,C++,104,0,227,2,40.2,15,755,804,1.4,407,0.66778
gazebo,https://github.com/osrf/gazebo,C++,169,0,163,5,6.5,15,44,99,2.1,1522,0.66774
kakoune,https://github.com/mawww/kakoune,C++,113,0,265,7,11.2,3,154,298,2.0,378,0.66707
calamares,https://github.com/calamares/calamares,C++,80,0,79,6,35.8,25,64,119,3.1,275,0.66642
openpilot,https://github.com/commaai/openpilot,C++,50,0,123,4,44.4,13,605,708,1.3,777,0.66493
azerothcore-wotlk,https://github.com/azerothcore/azerothcore-wotlk,C++,55,0,175,5,19.4,1,511,898,2.0,1829,0.66458
Magisk,https://github.com/topjohnwu/Magisk,C++,91,0,209,3,17.5,11,386,438,2.8,312,0.66354
open-zwave,https://github.com/OpenZWave/open-zwave,C++,133,0,455,6,9.1,1,94,165,1.6,906,0.66341
domoticz,https://github.com/domoticz/domoticz,C++,75,0,375,1,17.3,2,180,231,4.1,3716,0.66321
brave-core,https://github.com/brave/brave-core,C++,50,0,121,2,108.6,750,812,898,1.1,621,0.66195
flatbuffers,https://github.com/google/flatbuffers,C++,84,0,456,3,5.7,1,269,397,2.9,1617,0.6612
mysql-server,https://github.com/mysql/mysql-server,C++,248,6,582,4,36.8,34,9,11,2.5,1361,0.6611
QuantLib,https://github.com/lballabio/QuantLib,C++,246,0,164,6,9.9,3,69,89,2.5,1210,0.66046
openscad,https://github.com/openscad/openscad,C++,140,0,178,4,8.2,2,113,188,2.9,1982,0.66011
compute-runtime,https://github.com/intel/compute-runtime,C++,39,0,97,3,53.5,51,23,48,2.9,2634,0.65989
opentx,https://github.com/opentx/opentx,C++,113,0,148,3,16.9,6,247,393,2.1,1135,0.6598
mythtv,https://github.com/MythTV/mythtv,C++,227,0,355,2,40.0,4,42,79,2.1,1366,0.65952
or-tools,https://github.com/google/or-tools,C++,125,0,133,4,19.3,6,1547,1630,0.3,1292,0.65932
deconz-rest-plugin,https://github.com/dresden-elektronik/deconz-rest-plugin,C++,90,0,66,1,24.3,19,754,933,6.6,484,0.65925
graaljs,https://github.com/oracle/graaljs,C++,144,0,3394,8,60.7,3,78,102,2.4,0,0.65909
OpenRCT2,https://github.com/OpenRCT2/OpenRCT2,C++,82,0,428,2,46.9,5,708,990,1.4,276,0.65858
gzdoom,https://github.com/coelckers/gzdoom,C++,181,0,159,2,20.8,8,72,90,1.9,4074,0.65846
PX4-Autopilot,https://github.com/PX4/PX4-Autopilot,C++,110,0,535,5,52.9,6,548,871,1.9,10,0.65817
spdlog,https://github.com/gabime/spdlog,C++,84,0,242,5,7.2,7,91,106,2.1,1055,0.65793
keepassxc,https://github.com/keepassxreboot/keepassxc,C++,126,0,269,3,6.5,7,439,626,2.6,345,0.65745
